Country,Mentions,Latitude,Longitude,radius
UK,1763,55.378052,-3.435973,16
Nigeria,37,9.081999,8.675277,1.5
Scotland,258,56.490669,-4.202646,5
USA,250,37.09024,-95.712891,4.6
Ireland,124,53.41291,-8.24389,2.5
France,530,40.187649,-75.138412,7
Germany,116,51.165691,10.451526,2.35
Holland,64,52.132633,5.291266,1.2
Turkey,41,38.963745,35.24332,1.1
Belgium,119,50.503887,4.469936,2.4
The Czech Republic,187,50.08781,14.42046,4.2
Romania,34,41.817596,-71.369385,1.43
Spain,154,40.463669,-3.74922,2.47
Hungary,64,47.162495,19.503304,1.2
Canada,67,56.130367,-106.346771,1.32
Australia,44,-25.274399,133.775131,1.18
