key,value,date
Brexit,0.001,01/01/16
Irish General Election,0.001,01/01/16
Lahore Blast,0.001,01/01/16
Brexit,0.001,01/02/16
Irish General Election,0.001,01/02/16
Lahore Blast,0.001,01/02/16
Brexit,0.001,01/03/16
Irish General Election,0.001,01/03/16
Lahore Blast,0.001,01/03/16
Brexit,0.001,01/04/16
Irish General Election,0.001,01/04/16
Lahore Blast,0.001,01/04/16
Brexit,0.001,01/05/16
Irish General Election,0.001,01/05/16
Lahore Blast,0.001,01/05/16
Brexit,0.001,01/06/16
Irish General Election,0.001,01/06/16
Lahore Blast,0.001,01/06/16
Brexit,0.001,01/07/16
Irish General Election,0.001,01/07/16
Lahore Blast,0.001,01/07/16
Brexit,0.001,01/08/16
Irish General Election,0.001,01/08/16
Lahore Blast,0.001,01/08/16
Brexit,0.001,01/09/16
Irish General Election,0.001,01/09/16
Lahore Blast,0.001,01/09/16
Brexit,0.001,01/10/16
Irish General Election,0.001,01/10/16
Lahore Blast,0.001,01/10/16
Brexit,0.001,01/11/16
Irish General Election,0.001,01/11/16
Lahore Blast,0.001,01/11/16
Brexit,0.001,01/12/16
Irish General Election,0.001,01/12/16
Lahore Blast,0.001,01/12/16
Brexit,0.001,01/13/16
Irish General Election,0.001,01/13/16
Lahore Blast,0.001,01/13/16
Brexit,0.001,01/14/16
Irish General Election,0.001,01/14/16
Lahore Blast,0.001,01/14/16
Brexit,0.001,01/15/16
Irish General Election,0.001,01/15/16
Lahore Blast,0.001,01/15/16
Brexit,0.001,01/16/16
Irish General Election,0.001,01/16/16
Lahore Blast,0.001,01/16/16
Brexit,0.001,01/17/16
Irish General Election,0.001,01/17/16
Lahore Blast,0.001,01/17/16
Brexit,0.001,01/18/16
Irish General Election,0.001,01/18/16
Lahore Blast,0.001,01/18/16
Brexit,0.001,01/19/16
Irish General Election,0.001,01/19/16
Lahore Blast,0.001,01/19/16
Brexit,0.001,01/20/16
Irish General Election,0.001,01/20/16
Lahore Blast,0.001,01/20/16
Brexit,0.001,01/21/16
Irish General Election,0.001,01/21/16
Lahore Blast,0.001,01/21/16
Brexit,0.001,01/22/16
Irish General Election,0.001,01/22/16
Lahore Blast,0.001,01/22/16
Brexit,0.001,01/23/16
Irish General Election,0.001,01/23/16
Lahore Blast,0.001,01/23/16
Brexit,0.001,01/24/16
Irish General Election,0.001,01/24/16
Lahore Blast,0.001,01/24/16
Brexit,0.001,01/25/16
Irish General Election,0.001,01/25/16
Lahore Blast,0.001,01/25/16
Brexit,0.001,01/26/16
Irish General Election,0.001,01/26/16
Lahore Blast,0.001,01/26/16
Brexit,0.001,01/27/16
Irish General Election,0.001,01/27/16
Lahore Blast,0.001,01/27/16
Brexit,0.001,01/28/16
Irish General Election,0.001,01/28/16
Lahore Blast,0.001,01/28/16
Brexit,0.001,01/29/16
Irish General Election,0.001,01/29/16
Lahore Blast,0.001,01/29/16
Brexit,0.001,01/30/16
Irish General Election,0.001,01/30/16
Lahore Blast,0.001,01/30/16
Brexit,0.001,01/31/16
Irish General Election,0.001,01/31/16
Lahore Blast,0.001,01/31/16
Brexit,0.001,02/01/16
Irish General Election,0.001,02/01/16
Lahore Blast,0.001,02/01/16
Brexit,0.001,02/02/16
Irish General Election,0.001,02/02/16
Lahore Blast,0.001,02/02/16
Brexit,0.001,02/03/16
Irish General Election,0.001,02/03/16
Lahore Blast,0.001,02/03/16
Brexit,0.001,02/04/16
Irish General Election,0.001,02/04/16
Lahore Blast,0.001,02/04/16
Brexit,0.001,02/05/16
Irish General Election,0.001,02/05/16
Lahore Blast,0.001,02/05/16
Brexit,0.001,02/06/16
Irish General Election,0.001,02/06/16
Lahore Blast,0.001,02/06/16
Brexit,0.001,02/07/16
Irish General Election,0.001,02/07/16
Lahore Blast,0.001,02/07/16
Brexit,0.001,02/08/16
Irish General Election,0.001,02/08/16
Lahore Blast,0.001,02/08/16
Brexit,0.001,02/09/16
Irish General Election,0.001,02/09/16
Lahore Blast,0.001,02/09/16
Brexit,0.001,02/10/16
Irish General Election,0.001,02/10/16
